Unnamed: 0,Path,Canonical,Transcript,Error,Error_GT
10,L2_arctic_WAV/ABA_arctic_a0020,"[28, 30, 8, 37, 70, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 7, 49, 70]","[28, 30, 8, 37, 70, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 66, 40, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 66, 49, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
11,L2_arctic_WAV/ABA_arctic_a0021,"[24, 3, 54, 52, 50, 30, 49, 28, 30, 8, 37, 58, 68, 49, 24, 55, 3, 6, 50, 52, 28, 8, 59, 55, 56, 70, 24, 10, 24, 3]","[24, 3, 54, 52, 50, 30, 49, 28, 30, 8, 37, 58, 68, 49, 24, 55, 3, 6, 61, 52, 28, 8, 59, 55, 56, 70, 24, 10, 28, 24, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,L2_arctic_WAV/ABA_arctic_a0022,"[67, 17, 50, 58, 30, 49, 36, 7, 15, 50, 48, 30, 64, 55, 70, 68, 60, 58, 48, 8, 37, 30, 24, 28, 37, 49, 54, 40, 50, 36, 49, 36, 7, 68, 52, 3, 37, 56, 48, 15, 7, 54, 8, 30, 17, 48, 8, 70, 24, 9, 8, 55]","[67, 17, 61, 58, 30, 49, 36, 52, 50, 15, 50, 48, 30, 64, 55, 70, 68, 60, 58, 48, 8, 37, 30, 24, 28, 37, 49, 54, 40, 50, 36, 49, 36, 52, 50, 68, 52, 3, 37, 56, 48, 15, 7, 54, 8, 30, 17, 48, 8, 70, 24, 9, 8, 55]","[1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,L2_arctic_WAV/ABA_arctic_a0023,"[8, 28, 17, 68, 37, 8, 55, 60, 9, 8, 55, 8, 39, 28, 8, 55, 60, 58, 49, 8, 55, 28, 64, 48, 24, 3, 8, 30, 28, 36, 24, 28, 30, 49, 40, 50, 59, 8, 55, 56, 70, 58, 8, 55, 58, 48, 8, 3, 24, 9, 8, 55, 58, 54, 40, 50, 63, 8, 46, 60, 68, 48, 50, 24, 39, 30, 24, 69, 24, 70]","[8, 28, 17, 68, 37, 8, 55, 60, 9, 8, 55, 8, 39, 28, 8, 55, 60, 58, 49, 8, 55, 28, 64, 48, 24, 3, 8, 30, 28, 36, 24, 28, 30, 49, 40, 66, 59, 8, 55, 56, 70, 58, 8, 55, 58, 48, 8, 3, 24, 9, 8, 55, 58, 54, 40, 66, 63, 8, 46, 60, 68, 48, 66, 24, 39, 30, 24, 69, 24, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
14,L2_arctic_WAV/ABA_arctic_a0024,"[24, 3, 36, 40, 70, 68, 56, 50, 24, 48, 40, 50, 3, 46, 54, 50, 8, 68, 63, 8, 55, 40, 50, 22, 67, 36, 24, 35, 35, 49, 54, 30, 49, 24, 55, 58, 6, 46, 3, 48, 49, 48, 8, 30, 3, 6, 37, 56]","[24, 3, 36, 40, 70, 68, 56, 66, 24, 48, 40, 50, 3, 46, 54, 66, 8, 68, 63, 8, 55, 40, 66, 22, 67, 36, 24, 35, 35, 49, 54, 30, 49, 24, 55, 58, 6, 46, 3, 48, 49, 48, 8, 30, 3, 6, 37, 56]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,L2_arctic_WAV/ABA_arctic_a0025,"[56, 36, 40, 70, 8, 37, 15, 3, 3, 6, 58, 6, 63, 24, 46, 36, 52, 55, 28, 6, 30, 7, 69, 8, 69, 68, 8, 55, 3, 48, 50, 49, 39, 60, 30, 58]","[56, 36, 40, 70, 8, 37, 15, 3, 3, 6, 58, 6, 63, 24, 46, 36, 52, 55, 28, 6, 30, 7, 69, 8, 69, 68, 8, 55, 3, 37, 66, 49, 39, 60, 30, 58]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
16,L2_arctic_WAV/ABA_arctic_a0026,"[24, 3, 8, 28, 7, 58, 3, 6, 68, 49, 63, 64, 3, 63, 52, 50, 36, 31, 58, 67, 64, 39, 3, 6, 37, 49, 64, 55, 8, 28, 15, 55, 3, 24, 10]","[24, 3, 14, 28, 7, 58, 3, 6, 68, 49, 63, 64, 3, 63, 52, 66, 36, 31, 58, 67, 64, 39, 3, 6, 37, 49, 64, 55, 8, 28, 15, 55, 3, 24, 10]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,L2_arctic_WAV/ABA_arctic_a0027,"[3, 6, 68, 56, 46, 7, 48, 50, 56, 70, 67, 49, 37, 49, 59, 64, 55, 3, 6, 9, 14, 64, 28, 9, 8, 30, 24, 55, 22, 6, 70, 49, 64, 70, 8, 68, 24, 55, 68, 56, 54, 60, 39, 7]","[3, 6, 68, 56, 46, 7, 48, 50, 56, 70, 67, 49, 37, 49, 59, 64, 55, 3, 6, 9, 14, 64, 28, 9, 8, 30, 24, 55, 46, 6, 46, 49, 64, 70, 8, 68, 24, 55, 68, 56, 54, 60, 39, 8]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
18,L2_arctic_WAV/ABA_arctic_a0028,"[50, 17, 37, 7, 49, 37, 50, 56, 37, 7, 49, 54, 50, 40, 58]","[50, 17, 37, 7, 49, 48, 50, 56, 37, 7, 49, 54, 6, 3]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1]"
19,L2_arctic_WAV/ABA_arctic_a0029,"[63, 52, 50, 54, 40, 50, 46, 24, 70, 36, 7, 40, 50, 52, 58, 49, 68, 6, 39, 24, 10, 24, 55, 3, 6, 63, 8, 55, 40, 50, 22, 28, 8, 55, 3, 50, 49]","[63, 24, 52, 50, 54, 40, 46, 24, 70, 36, 52, 66, 40, 50, 52, 58, 49, 68, 6, 39, 24, 10, 28, 24, 55, 3, 6, 63, 8, 55, 40, 50, 22, 28, 8, 55, 3, 50, 49]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,L2_arctic_WAV/ABA_arctic_a0030,"[56, 67, 64, 58, 54, 60, 22, 24, 55, 63, 52, 68]","[56, 67, 64, 58, 54, 60, 22, 24, 55, 63, 52, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,L2_arctic_WAV/ABA_arctic_a0031,"[63, 60, 36, 7, 22, 50, 49, 67, 8, 55, 58, 50, 24, 58, 29, 17, 50, 58, 70, 8, 48, 17, 50, 3]","[63, 60, 36, 49, 7, 22, 61, 49, 67, 8, 55, 58, 66, 24, 58, 29, 17, 61, 58, 70, 8, 48, 17, 50, 3]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
22,L2_arctic_WAV/ABA_arctic_a0032,"[46, 24, 55, 46, 63, 52, 55, 46, 8, 68, 68, 24, 46, 3, 24, 50, 49, 8, 46, 54, 40, 50, 46, 67, 64, 70, 37, 24, 55, 54, 56, 3, 24, 10, 8, 46, 64, 3, 52, 39, 50, 49, 46, 3, 52, 48]","[46, 24, 55, 46, 63, 52, 55, 46, 8, 68, 68, 56, 46, 3, 50, 52, 46, 54, 40, 50, 46, 67, 64, 70, 37, 24, 55, 54, 56, 3, 24, 10, 28, 8, 46, 64, 3, 52, 39, 50, 49, 46, 3, 52, 48]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,L2_arctic_WAV/ABA_arctic_a0036,"[9, 49, 3, 7, 55, 58, 24, 55, 64, 3, 63, 8, 67, 14, 3, 52, 30]","[9, 49, 3, 7, 55, 58, 24, 55, 64, 3, 63, 8, 67, 14, 3, 52, 30]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,L2_arctic_WAV/ABA_arctic_a0037,"[56, 36, 8, 70, 63, 8, 14, 55, 30, 49, 36, 8, 55, 67, 6, 50, 49, 68, 60, 55, 58, 46, 24, 3, 24, 10]","[56, 36, 8, 70, 70, 8, 14, 55, 30, 49, 36, 8, 55, 67, 6, 66, 49, 68, 60, 55, 58, 46, 24, 3, 24, 10, 28]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
25,L2_arctic_WAV/ABA_arctic_a0038,"[36, 49, 36, 24, 30, 67, 64, 39, 3, 8, 36, 40, 35, 15, 50, 35, 64, 55, 46, 24, 70]","[36, 49, 36, 24, 30, 67, 64, 39, 3, 8, 36, 40, 35, 15, 50, 35, 64, 55, 46, 24, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,L2_arctic_WAV/ABA_arctic_a0039,"[63, 8, 9, 24, 48, 9, 31, 58, 37, 49, 24, 55, 36, 24, 22, 24, 55, 8, 36, 49, 28, 40, 50, 3, 52, 55, 58, 60, 70]","[63, 8, 9, 24, 48, 9, 31, 58, 37, 49, 24, 55, 36, 24, 22, 24, 55, 8, 36, 49, 28, 40, 50, 3, 24, 55, 58, 60, 70]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
27,L2_arctic_WAV/ABA_arctic_a0040,"[56, 46, 8, 48, 14, 70, 29, 6, 36, 8, 55, 58, 7, 67, 36, 56, 9, 49, 24, 70, 28, 8, 68, 24, 10, 8, 48, 67, 49, 50]","[56, 46, 8, 37, 14, 70, 29, 6, 36, 8, 55, 58, 7, 67, 36, 56, 9, 49, 24, 70, 28, 8, 68, 24, 10, 8, 48, 67, 49, 50]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,L2_arctic_WAV/ABA_arctic_a0041,"[68, 49, 55, 36, 56, 30, 56, 30, 59, 14, 15, 3, 3, 6, 37, 50, 49, 63, 8, 46, 48, 52, 30]","[68, 49, 55, 36, 56, 30, 56, 30, 59, 14, 15, 3, 3, 6, 48, 66, 49, 63, 8, 46, 48, 52, 30]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
29,L2_arctic_WAV/ABA_arctic_a0042,"[67, 15, 28, 31, 58, 67, 49, 24, 28, 46, 48, 30, 60, 55, 67, 24, 70, 48, 8, 70, 52, 9, 8, 55, 8, 39, 63, 8, 46, 28, 52, 35]","[67, 15, 28, 31, 58, 67, 49, 24, 28, 46, 37, 30, 60, 55, 67, 24, 70, 48, 8, 70, 52, 9, 8, 55, 8, 39, 63, 8, 46, 28, 52, 35]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,L2_arctic_WAV/ABA_arctic_a0045,"[67, 49, 68, 6, 39, 58, 8, 36, 60, 64, 70, 28, 36, 56, 8, 3, 30, 49, 64, 70, 67, 49, 67, 64, 58, 28, 8, 68]","[67, 49, 68, 6, 39, 58, 8, 36, 60, 64, 70, 28, 36, 56, 8, 3, 30, 49, 64, 70, 67, 49, 67, 64, 58, 28, 8, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
31,L2_arctic_WAV/ABA_arctic_a0046,"[63, 8, 59, 7, 30, 54, 60, 46, 3, 67, 24, 68, 67, 7, 56, 70, 9, 56, 55, 24, 10, 36, 24, 63, 46, 8, 58, 8, 55, 54, 24, 50]","[63, 8, 59, 7, 30, 54, 60, 46, 3, 67, 24, 68, 67, 66, 56, 70, 9, 56, 55, 24, 10, 28, 36, 24, 63, 46, 8, 58, 8, 55, 54, 24, 66]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
